"","City","Category","Profit","Sales","Segment","Order Date","Sub-Category"
"1","Henderson","Furniture","$42","$262","Consumer",2016-02-11,"Bookcases"
"2","Henderson","Furniture","$220","$732","Consumer",2016-02-11,"Chairs"
"3","Los Angeles","Office Supplies","$7","$15","Corporate",2016-02-06,"Labels"
"4","Fort Lauderdale","Furniture","-$383","$958","Consumer",2015-02-10,"Tables"
"5","Fort Lauderdale","Office Supplies","$3","$22","Consumer",2015-02-10,"Storage"
"6","Los Angeles","Furniture","$14","$49","Consumer",2014-02-06,"Furnishings"
"7","Los Angeles","Office Supplies","$2","$7","Consumer",2014-02-06,"Art"
"8","Los Angeles","Technology","$91","$907","Consumer",2014-02-06,"Phones"
"9","Los Angeles","Office Supplies","$6","$19","Consumer",2014-02-06,"Binders"
"10","Los Angeles","Office Supplies","$34","$115","Consumer",2014-02-06,"Appliances"
"11","Los Angeles","Furniture","$85","$1,706","Consumer",2014-02-06,"Tables"
"12","Los Angeles","Technology","$68","$911","Consumer",2014-02-06,"Phones"
"13","Concord","Office Supplies","$5","$16","Consumer",2017-02-04,"Paper"
"14","Seattle","Office Supplies","$133","$408","Consumer",2016-02-12,"Binders"
"15","Fort Worth","Office Supplies","-$124","$69","Home Office",2015-02-11,"Appliances"
"16","Fort Worth","Office Supplies","-$4","$3","Home Office",2015-02-11,"Binders"
"17","Madison","Office Supplies","$13","$666","Consumer",2014-02-11,"Storage"
"18","West Jordan","Office Supplies","$10","$56","Consumer",2014-02-05,"Storage"
"19","San Francisco","Office Supplies","$2","$9","Consumer",2014-02-08,"Art"
"20","San Francisco","Technology","$16","$213","Consumer",2014-02-08,"Phones"
"21","San Francisco","Office Supplies","$7","$23","Consumer",2014-02-08,"Binders"
"22","Fremont","Office Supplies","$5","$19","Corporate",2016-02-12,"Art"
"23","Fremont","Office Supplies","$16","$60","Corporate",2016-02-12,"Appliances"
"24","Philadelphia","Furniture","-$1","$71","Consumer",2017-02-07,"Chairs"
"25","Orem","Furniture","$240","$1,045","Consumer",2015-02-09,"Tables"
"26","Los Angeles","Office Supplies","$4","$12","Consumer",2016-02-01,"Binders"
"27","Los Angeles","Technology","$12","$91","Consumer",2016-02-01,"Accessories"
"28","Philadelphia","Furniture","-$1,665","$3,083","Consumer",2015-02-09,"Bookcases"
"29","Philadelphia","Office Supplies","-$7","$10","Consumer",2015-02-09,"Binders"
"30","Philadelphia","Furniture","$16","$124","Consumer",2015-02-09,"Furnishings"
"31","Philadelphia","Office Supplies","$1","$3","Consumer",2015-02-09,"Envelopes"
"32","Philadelphia","Office Supplies","$10","$86","Consumer",2015-02-09,"Art"
"33","Philadelphia","Office Supplies","-$6","$7","Consumer",2015-02-09,"Binders"
"34","Philadelphia","Office Supplies","$4","$16","Consumer",2015-02-09,"Art"
"35","Houston","Office Supplies","$10","$29","Home Office",2017-02-10,"Paper"
"36","Richardson","Technology","$123","$1,098","Corporate",2016-02-12,"Phones"
"37","Richardson","Furniture","-$148","$191","Corporate",2016-02-12,"Furnishings"
"38","Houston","Office Supplies","$35","$113","Home Office",2015-02-12,"Envelopes"
"39","Houston","Furniture","-$47","$532","Home Office",2015-02-12,"Bookcases"
"40","Houston","Furniture","-$15","$212","Home Office",2015-02-12,"Chairs"
"41","Houston","Technology","$42","$371","Home Office",2015-02-12,"Phones"
"42","Naperville","Technology","$17","$147","Corporate",2017-02-09,"Phones"
"43","Los Angeles","Office Supplies","$4","$78","Corporate",2016-02-07,"Storage"
"44","Melbourne","Office Supplies","$10","$96","Corporate",2017-02-09,"Storage"
"45","Eagan","Technology","$20","$46","Corporate",2016-02-03,"Accessories"
"46","Eagan","Office Supplies","$8","$17","Corporate",2016-02-03,"Binders"
"47","Westland","Office Supplies","$8","$212","Consumer",2014-02-10,"Storage"
"48","Dover","Technology","$5","$45","Consumer",2016-02-06,"Accessories"
"49","Dover","Technology","$6","$22","Consumer",2016-02-06,"Phones"
"50","New Albany","Office Supplies","$18","$38","Consumer",2015-02-04,"Binders"
"51","New Albany","Office Supplies","$35","$75","Consumer",2015-02-04,"Labels"
"52","New Albany","Furniture","$3","$6","Consumer",2015-02-04,"Furnishings"
"53","New Albany","Furniture","$17","$90","Consumer",2015-02-04,"Chairs"
"54","New York City","Office Supplies","$6","$15","Corporate",2016-02-12,"Fasteners"
"55","New York City","Technology","$299","$1,030","Corporate",2016-02-12,"Phones"
"56","Troy","Office Supplies","$52","$209","Consumer",2016-02-06,"Storage"
"57","Troy","Office Supplies","$16","$32","Consumer",2016-02-06,"Paper"
"58","Troy","Furniture","$7","$319","Consumer",2016-02-06,"Chairs"
"59","Troy","Office Supplies","$7","$15","Consumer",2016-02-06,"Paper"
"60","Troy","Technology","$3","$30","Consumer",2016-02-06,"Accessories"
"61","Troy","Office Supplies","$16","$48","Consumer",2016-02-06,"Binders"
"62","Troy","Office Supplies","$1","$2","Consumer",2016-02-06,"Art"
"63","Los Angeles","Technology","$6","$14","Consumer",2015-02-11,"Accessories"
"64","Los Angeles","Office Supplies","$9","$26","Consumer",2015-02-11,"Binders"
"65","Los Angeles","Office Supplies","$69","$147","Consumer",2015-02-11,"Paper"
"66","Los Angeles","Furniture","$22","$80","Consumer",2015-02-11,"Furnishings"
"67","Chicago","Furniture","-$15","$213","Home Office",2015-02-04,"Chairs"
"68","Gilbert","Office Supplies","$111","$1,113","Corporate",2014-02-12,"Art"
"69","Gilbert","Technology","$63","$168","Corporate",2014-02-12,"Phones"
"70","Springfield","Office Supplies","$36","$76","Consumer",2016-02-06,"Paper"
"71","New York City","Office Supplies","$2","$5","Consumer",2016-02-09,"Binders"
"72","Jackson","Office Supplies","$9","$19","Consumer",2017-02-09,"Paper"
"73","Memphis","Furniture","-$114","$832","Consumer",2015-02-04,"Chairs"
"74","Memphis","Furniture","$1","$97","Consumer",2015-02-04,"Furnishings"
"75","Memphis","Office Supplies","-$18","$73","Consumer",2015-02-04,"Storage"
"76","Houston","Office Supplies","-$2","$1","Corporate",2017-02-12,"Binders"
"77","Houston","Furniture","-$6","$10","Corporate",2017-02-12,"Furnishings"
"78","Houston","Office Supplies","$3","$27","Corporate",2017-02-12,"Storage"
"79","Houston","Furniture","-$14","$19","Consumer",2014-02-11,"Furnishings"
"80","Decatur","Office Supplies","$56","$208","Corporate",2016-02-06,"Appliances"
"81","Decatur","Office Supplies","$8","$17","Corporate",2016-02-06,"Binders"
"82","San Francisco","Office Supplies","$4","$15","Consumer",2014-02-10,"Art"
"83","San Francisco","Office Supplies","$6","$21","Consumer",2014-02-10,"Storage"
"84","Durham","Office Supplies","$63","$201","Corporate",2015-02-09,"Envelopes"
"85","Chicago","Office Supplies","-$49","$230","Home Office",2017-02-11,"Storage"
"86","Columbia","Furniture","$33","$302","Consumer",2017-02-05,"Chairs"
"87","Rochester","Technology","$7","$20","Consumer",2017-02-10,"Accessories"
"88","Rochester","Office Supplies","$3","$6","Consumer",2017-02-10,"Labels"
"89","Houston","Office Supplies","$14","$158","Home Office",2016-02-04,"Storage"
"90","Los Angeles","Office Supplies","$7","$20","Corporate",2016-02-09,"Art"
"91","Los Angeles","Technology","$8","$74","Corporate",2016-02-09,"Phones"
"92","Los Angeles","Office Supplies","$3","$6","Corporate",2016-02-09,"Paper"
"93","Minneapolis","Office Supplies","$6","$13","Consumer",2015-02-01,"Paper"
"94","Minneapolis","Furniture","$17","$53","Consumer",2015-02-01,"Furnishings"
"95","Minneapolis","Office Supplies","$16","$33","Consumer",2015-02-01,"Binders"
"96","Portland","Office Supplies","-$4","$6","Home Office",2017-02-11,"Binders"
"97","New York City","Furniture","$41","$97","Home Office",2017-02-11,"Furnishings"
"98","San Francisco","Office Supplies","$18","$51","Consumer",2017-02-06,"Binders"
"99","Saint Paul","Office Supplies","$23","$78","Corporate",2016-02-09,"Appliances"
"100","Chicago","Office Supplies","$23","$65","Home Office",2016-02-08,"Paper"
"101","Chicago","Technology","-$11","$96","Home Office",2016-02-08,"Accessories"
"102","Chicago","Office Supplies","-$3","$2","Home Office",2016-02-08,"Binders"
"103","Rochester","Office Supplies","$12","$24","Consumer",2016-02-12,"Paper"
"104","Aurora","Technology","-$27","$239","Consumer",2015-02-11,"Accessories"
"105","Aurora","Furniture","-$4","$102","Consumer",2015-02-11,"Furnishings"
"106","Aurora","Office Supplies","-$26","$37","Consumer",2015-02-11,"Binders"
"107","Charlotte","Technology","$18","$74","Consumer",2017-02-11,"Accessories"
"108","Charlotte","Technology","$2","$28","Consumer",2017-02-11,"Phones"
"109","Charlotte","Office Supplies","$1","$3","Consumer",2017-02-11,"Art"
"110","Orland Park","Technology","$68","$340","Home Office",2015-02-10,"Accessories"
"111","New York City","Furniture","$11","$42","Corporate",2017-02-12,"Furnishings"
"112","Urbandale","Office Supplies","$23","$76","Consumer",2016-02-11,"Art"
"113","Urbandale","Office Supplies","$13","$27","Consumer",2016-02-11,"Binders"
"114","Columbus","Office Supplies","$15","$40","Consumer",2014-02-08,"Fasteners"
"115","Columbus","Office Supplies","$2","$5","Consumer",2014-02-08,"Envelopes"
"116","Columbus","Office Supplies","$7","$24","Consumer",2014-02-08,"Paper"
"117","Columbus","Office Supplies","$44","$130","Consumer",2014-02-08,"Envelopes"
"118","Seattle","Furniture","$165","$788","Consumer",2015-02-03,"Tables"
"119","Bristol","Office Supplies","-$116","$158","Corporate",2015-02-04,"Binders"
"120","Wilmington","Furniture","$18","$47","Consumer",2016-02-06,"Furnishings"
