"","City","Category","Profit","Sales","Segment","Order Date","Ship Date"
"1","Henderson","Furniture","$42","$262","Consumer",2016-02-11,"42685"
"2","Henderson","Furniture","$220","$732","Consumer",2016-02-11,"42685"
"3","Los Angeles","Office Supplies","$7","$15","Corporate",2016-02-06,"6/16/2016"
"4","Fort Lauderdale","Furniture","-$383","$958","Consumer",2015-02-10,"10/18/2015"
"5","Fort Lauderdale","Office Supplies","$3","$22","Consumer",2015-02-10,"10/18/2015"
"6","Los Angeles","Furniture","$14","$49","Consumer",2014-02-06,"6/14/2014"
"7","Los Angeles","Office Supplies","$2","$7","Consumer",2014-02-06,"6/14/2014"
"8","Los Angeles","Technology","$91","$907","Consumer",2014-02-06,"6/14/2014"
"9","Los Angeles","Office Supplies","$6","$19","Consumer",2014-02-06,"6/14/2014"
"10","Los Angeles","Office Supplies","$34","$115","Consumer",2014-02-06,"6/14/2014"
"11","Los Angeles","Furniture","$85","$1,706","Consumer",2014-02-06,"6/14/2014"
"12","Los Angeles","Technology","$68","$911","Consumer",2014-02-06,"6/14/2014"
"13","Concord","Office Supplies","$5","$16","Consumer",2017-02-04,"4/20/2017"
"14","Seattle","Office Supplies","$133","$408","Consumer",2016-02-12,"42655"
"15","Fort Worth","Office Supplies","-$124","$69","Home Office",2015-02-11,"11/26/2015"
"16","Fort Worth","Office Supplies","-$4","$3","Home Office",2015-02-11,"11/26/2015"
"17","Madison","Office Supplies","$13","$666","Consumer",2014-02-11,"11/18/2014"
"18","West Jordan","Office Supplies","$10","$56","Consumer",2014-02-05,"5/15/2014"
"19","San Francisco","Office Supplies","$2","$9","Consumer",2014-02-08,"41648"
"20","San Francisco","Technology","$16","$213","Consumer",2014-02-08,"41648"
"21","San Francisco","Office Supplies","$7","$23","Consumer",2014-02-08,"41648"
"22","Fremont","Office Supplies","$5","$19","Corporate",2016-02-12,"12/13/2016"
"23","Fremont","Office Supplies","$16","$60","Corporate",2016-02-12,"12/13/2016"
"24","Philadelphia","Furniture","-$1","$71","Consumer",2017-02-07,"7/18/2017"
"25","Orem","Furniture","$240","$1,045","Consumer",2015-02-09,"9/30/2015"
"26","Los Angeles","Office Supplies","$4","$12","Consumer",2016-02-01,"1/20/2016"
"27","Los Angeles","Technology","$12","$91","Consumer",2016-02-01,"1/20/2016"
"28","Philadelphia","Furniture","-$1,665","$3,083","Consumer",2015-02-09,"9/21/2015"
"29","Philadelphia","Office Supplies","-$7","$10","Consumer",2015-02-09,"9/21/2015"
"30","Philadelphia","Furniture","$16","$124","Consumer",2015-02-09,"9/21/2015"
"31","Philadelphia","Office Supplies","$1","$3","Consumer",2015-02-09,"9/21/2015"
"32","Philadelphia","Office Supplies","$10","$86","Consumer",2015-02-09,"9/21/2015"
"33","Philadelphia","Office Supplies","-$6","$7","Consumer",2015-02-09,"9/21/2015"
"34","Philadelphia","Office Supplies","$4","$16","Consumer",2015-02-09,"9/21/2015"
"35","Houston","Office Supplies","$10","$29","Home Office",2017-02-10,"10/23/2017"
"36","Richardson","Technology","$123","$1,098","Corporate",2016-02-12,"42655"
"37","Richardson","Furniture","-$148","$191","Corporate",2016-02-12,"42655"
"38","Houston","Office Supplies","$35","$113","Home Office",2015-02-12,"12/31/2015"
"39","Houston","Furniture","-$47","$532","Home Office",2015-02-12,"12/31/2015"
"40","Houston","Furniture","-$15","$212","Home Office",2015-02-12,"12/31/2015"
"41","Houston","Technology","$42","$371","Home Office",2015-02-12,"12/31/2015"
"42","Naperville","Technology","$17","$147","Corporate",2017-02-09,"9/15/2017"
"43","Los Angeles","Office Supplies","$4","$78","Corporate",2016-02-07,"7/22/2016"
"44","Melbourne","Office Supplies","$10","$96","Corporate",2017-02-09,"9/23/2017"
"45","Eagan","Technology","$20","$46","Corporate",2016-02-03,"3/13/2016"
"46","Eagan","Office Supplies","$8","$17","Corporate",2016-02-03,"3/13/2016"
"47","Westland","Office Supplies","$8","$212","Consumer",2014-02-10,"10/25/2014"
"48","Dover","Technology","$5","$45","Consumer",2016-02-06,"6/25/2016"
"49","Dover","Technology","$6","$22","Consumer",2016-02-06,"6/25/2016"
"50","New Albany","Office Supplies","$18","$38","Consumer",2015-02-04,"4/22/2015"
"51","New Albany","Office Supplies","$35","$75","Consumer",2015-02-04,"4/22/2015"
"52","New Albany","Furniture","$3","$6","Consumer",2015-02-04,"4/22/2015"
"53","New Albany","Furniture","$17","$90","Consumer",2015-02-04,"4/22/2015"
"54","New York City","Office Supplies","$6","$15","Corporate",2016-02-12,"12/17/2016"
"55","New York City","Technology","$299","$1,030","Corporate",2016-02-12,"12/17/2016"
"56","Troy","Office Supplies","$52","$209","Consumer",2016-02-06,"6/18/2016"
"57","Troy","Office Supplies","$16","$32","Consumer",2016-02-06,"6/18/2016"
"58","Troy","Furniture","$7","$319","Consumer",2016-02-06,"6/18/2016"
"59","Troy","Office Supplies","$7","$15","Consumer",2016-02-06,"6/18/2016"
"60","Troy","Technology","$3","$30","Consumer",2016-02-06,"6/18/2016"
"61","Troy","Office Supplies","$16","$48","Consumer",2016-02-06,"6/18/2016"
"62","Troy","Office Supplies","$1","$2","Consumer",2016-02-06,"6/18/2016"
"63","Los Angeles","Technology","$6","$14","Consumer",2015-02-11,"11/30/2015"
"64","Los Angeles","Office Supplies","$9","$26","Consumer",2015-02-11,"11/30/2015"
"65","Los Angeles","Office Supplies","$69","$147","Consumer",2015-02-11,"11/30/2015"
"66","Los Angeles","Furniture","$22","$80","Consumer",2015-02-11,"11/30/2015"
"67","Chicago","Furniture","-$15","$213","Home Office",2015-02-04,"42129"
"68","Gilbert","Office Supplies","$111","$1,113","Corporate",2014-02-12,"41924"
"69","Gilbert","Technology","$63","$168","Corporate",2014-02-12,"41924"
"70","Springfield","Office Supplies","$36","$76","Consumer",2016-02-06,"42527"
"71","New York City","Office Supplies","$2","$5","Consumer",2016-02-09,"9/23/2016"
"72","Jackson","Office Supplies","$9","$19","Consumer",2017-02-09,"9/17/2017"
"73","Memphis","Furniture","-$114","$832","Consumer",2015-02-04,"42040"
"74","Memphis","Furniture","$1","$97","Consumer",2015-02-04,"42040"
"75","Memphis","Office Supplies","-$18","$73","Consumer",2015-02-04,"42040"
"76","Houston","Office Supplies","-$2","$1","Corporate",2017-02-12,"43051"
"77","Houston","Furniture","-$6","$10","Corporate",2017-02-12,"43051"
"78","Houston","Office Supplies","$3","$27","Corporate",2017-02-12,"43051"
"79","Houston","Furniture","-$14","$19","Consumer",2014-02-11,"41651"
"80","Decatur","Office Supplies","$56","$208","Corporate",2016-02-06,"6/15/2016"
"81","Decatur","Office Supplies","$8","$17","Corporate",2016-02-06,"6/15/2016"
"82","San Francisco","Office Supplies","$4","$15","Consumer",2014-02-10,"10/16/2014"
"83","San Francisco","Office Supplies","$6","$21","Consumer",2014-02-10,"10/16/2014"
"84","Durham","Office Supplies","$63","$201","Corporate",2015-02-09,"42225"
"85","Chicago","Office Supplies","-$49","$230","Home Office",2017-02-11,"11/16/2017"
"86","Columbia","Furniture","$33","$302","Consumer",2017-02-05,"5/30/2017"
"87","Rochester","Technology","$7","$20","Consumer",2017-02-10,"42777"
"88","Rochester","Office Supplies","$3","$6","Consumer",2017-02-10,"42777"
"89","Houston","Office Supplies","$14","$158","Home Office",2016-02-04,"42647"
"90","Los Angeles","Office Supplies","$7","$20","Corporate",2016-02-09,"9/22/2016"
"91","Los Angeles","Technology","$8","$74","Corporate",2016-02-09,"9/22/2016"
"92","Los Angeles","Office Supplies","$3","$6","Corporate",2016-02-09,"9/22/2016"
"93","Minneapolis","Office Supplies","$6","$13","Consumer",2015-02-01,"42126"
"94","Minneapolis","Furniture","$17","$53","Consumer",2015-02-01,"42126"
