"","City","Category","Profit","Sales","Segment"
"1","Henderson","Furniture","$42","$262","Consumer"
"2","Henderson","Furniture","$220","$732","Consumer"
"3","Los Angeles","Office Supplies","$7","$15","Corporate"
"4","Fort Lauderdale","Furniture","-$383","$958","Consumer"
"5","Fort Lauderdale","Office Supplies","$3","$22","Consumer"
"6","Los Angeles","Furniture","$14","$49","Consumer"
"7","Los Angeles","Office Supplies","$2","$7","Consumer"
"8","Los Angeles","Technology","$91","$907","Consumer"
"9","Los Angeles","Office Supplies","$6","$19","Consumer"
"10","Los Angeles","Office Supplies","$34","$115","Consumer"
"11","Los Angeles","Furniture","$85","$1,706","Consumer"
"12","Los Angeles","Technology","$68","$911","Consumer"
"13","Concord","Office Supplies","$5","$16","Consumer"
"14","Seattle","Office Supplies","$133","$408","Consumer"
"15","Fort Worth","Office Supplies","-$124","$69","Home Office"
"16","Fort Worth","Office Supplies","-$4","$3","Home Office"
"17","Madison","Office Supplies","$13","$666","Consumer"
"18","West Jordan","Office Supplies","$10","$56","Consumer"
"19","San Francisco","Office Supplies","$2","$9","Consumer"
"20","San Francisco","Technology","$16","$213","Consumer"
"21","San Francisco","Office Supplies","$7","$23","Consumer"
"22","Fremont","Office Supplies","$5","$19","Corporate"
"23","Fremont","Office Supplies","$16","$60","Corporate"
"24","Philadelphia","Furniture","-$1","$71","Consumer"
"25","Orem","Furniture","$240","$1,045","Consumer"
"26","Los Angeles","Office Supplies","$4","$12","Consumer"
"27","Los Angeles","Technology","$12","$91","Consumer"
"28","Philadelphia","Furniture","-$1,665","$3,083","Consumer"
"29","Philadelphia","Office Supplies","-$7","$10","Consumer"
"30","Philadelphia","Furniture","$16","$124","Consumer"
"31","Philadelphia","Office Supplies","$1","$3","Consumer"
"32","Philadelphia","Office Supplies","$10","$86","Consumer"
"33","Philadelphia","Office Supplies","-$6","$7","Consumer"
"34","Philadelphia","Office Supplies","$4","$16","Consumer"
"35","Houston","Office Supplies","$10","$29","Home Office"
"36","Richardson","Technology","$123","$1,098","Corporate"
"37","Richardson","Furniture","-$148","$191","Corporate"
"38","Houston","Office Supplies","$35","$113","Home Office"
"39","Houston","Furniture","-$47","$532","Home Office"
"40","Houston","Furniture","-$15","$212","Home Office"
"41","Houston","Technology","$42","$371","Home Office"
"42","Naperville","Technology","$17","$147","Corporate"
"43","Los Angeles","Office Supplies","$4","$78","Corporate"
"44","Melbourne","Office Supplies","$10","$96","Corporate"
